RACE_CATEGORY,LATIN,NON_US_CITIZEN,HH_AGE,MALE,GRAD_CATEGORY,MAR_CATEGORY,YNGKIDS,SENIORS,DISABLED,NUM_MEMBERS,INCOME,LN_INCOME,STAY_CATEGORY,HOUSE_AGE,UNIT_CATEGORY,NOGOODSCHOOL,NOGOODPTRNS,HIGH_PCRIME,HIGH_SCRIME,HIGH_RISK,RENT_CONTROL,HUD_CATEGORY,DIV4,COMPOSITE_HI2,INCOME_CATEGORY,WHITE,BLACK,ASIAN,OTHER_RACE,MARRIED,SEPARATED,NEVER_MARRIED,HUD_HOU,HUD_HCV,HUD_NON,ONE_FAMILY_HOUSE,APARTMENT,MOBILE_HOUSE,DIV4_1,DIV4_2,DIV4_3,DIV4_4,UNDSCHOOL,HIGHSCHOOL,COLLEGE,BACHELOR,MASTER,STAY_0_5,STAY_5_10,STAY_10_MORE
1,0,0,75.0,0,3,2,0,1,1,1,23500.0,10.064798252418377,1,31.0,2,0,1,0,0,0,0,3,3,0,2.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0,0,26.0,0,4,3,1,0,0,4,27500.0,10.221977646629885,1,41.0,2,0,1,0,0,0,0,1,2,0,2.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1,1,1,27.0,0,5,1,1,0,0,3,40000.0,10.596659732783579,1,41.0,1,0,0,0,0,0,0,3,3,1,2.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2,1,1,49.0,1,3,3,0,0,0,1,21100.0,9.957075711706057,1,41.0,2,0,0,1,1,1,0,3,3,0,2.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,1,0,54.0,0,1,2,0,0,1,2,28400.0,10.254179634797001,1,41.0,1,1,1,0,0,1,0,1,3,0,2.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,1,0,22.0,1,2,3,0,0,0,1,25000.0,10.12667110305036,1,21.0,2,0,1,0,0,0,0,3,3,0,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,0,0,56.0,0,2,1,0,0,1,3,25830.0,10.159330600013353,1,71.0,1,1,1,1,1,1,0,1,3,3,2.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2,1,1,58.0,0,3,2,0,1,1,3,38800.0,10.566201298475118,1,61.0,2,0,1,1,0,0,0,3,3,0,2.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
2,0,0,70.0,1,3,2,0,1,1,1,22200.0,10.007892611890918,3,41.0,2,0,1,1,0,0,0,3,3,0,2.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,1,0,27.0,1,3,3,0,0,0,1,24000.0,10.085850775128717,1,41.0,2,0,1,0,0,1,0,3,3,1,2.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
